date,nlikes,nretweets,nreplies,comp,pos,neutral,neg
2021-01-02,-0.9997060501455245,-0.999758843934925,-0.9999414468483766,1,0.162,0.838,0.0
2021-01-03,-0.9991439355115275,-0.9998268623122538,-0.9992973621805193,0,0.072,0.87,0.057999999999999996
2021-01-04,-0.9996673725330936,-0.9998979724340067,-0.9993851919079545,0,0.15425,0.77325,0.0725
2021-01-05,-0.9999574546263259,-1.0,-0.9998243405451298,0,0.111,0.823,0.066
2021-01-08,-0.9966118411510457,-0.9975698888827054,-0.9919782182275961,0,0.279,0.721,0.0
2021-01-09,-0.9999245786557596,-1.0,-0.999912170272565,0,0.14200000000000002,0.786,0.0715
2021-01-14,-0.9992225799901372,-0.9992765318047749,-0.9989850787051947,0,0.05466666666666667,0.882,0.06333333333333334
2021-01-19,-0.9996170916369332,-0.9998052201012856,-0.9994144684837661,0,0.1545,0.7765,0.069
2021-01-20,-0.9998723638789777,-0.9999443486003673,-0.9996486810902597,0,0.156,0.844,0.0
2021-01-21,-0.9994391746197507,-0.9994991374033056,-0.9998243405451298,1,0.117,0.883,0.0
2021-01-24,-0.9995822817857454,-0.9998515962676461,-0.9990045964224025,1,0.369,0.631,0.0
2021-01-28,-0.99704657751477,-0.9980336505463112,-0.9953743010217525,0,0.046799999999999994,0.9166000000000001,0.0366
2021-01-29,-0.9990549770029362,-0.9995857062471787,-0.9987703838159089,0,0.18133333333333335,0.6739999999999999,0.14466666666666667
2021-01-30,-0.9999303802976243,-1.0,-0.9999414468483766,0,0.07,0.93,0.0
2021-02-01,-0.9998684961177347,-0.9998330458011019,-0.9999414468483766,0,0.058,0.889,0.053
2021-02-04,1.0,0.7482330680616618,0.06338378663231549,0,0.0,1.0,0.0
2021-02-05,-0.9999961322387569,-1.0,-0.9999414468483766,0,0.0,1.0,0.0
2021-02-07,-0.9459712431951576,-0.9606173595265921,-0.9362648944579443,1,0.43,0.527,0.043
2021-02-08,-0.9999729256712984,-1.0,-0.9999414468483766,0,0.0,1.0,0.0
2021-02-09,-0.9947630512768447,-0.9951088603211704,-0.9990241141396101,0,0.271,0.6583333333333333,0.07100000000000001
2021-02-10,-0.5826244693915045,-0.7848702394865231,-0.6647949175864392,0,0.041600000000000005,0.9199999999999999,0.0382
2021-02-13,-0.9982479041568764,-0.99951768786985,-0.997716427086688,1,0.165,0.835,0.0
2021-02-14,0.1887061371701525,-0.41419481699964755,0.5447492461281729,0,0.105,0.895,0.0
2021-02-15,-0.9676268383952659,-0.8147364906227391,-0.9310536639634628,0,0.169,0.794,0.037
2021-02-16,-0.9981860199769869,-0.9994249355371287,-0.9991802558772725,0,0.178,0.822,0.0
2021-02-18,-0.9142195018968146,-0.9406941584580852,-0.9269647022084296,0,0.12466666666666666,0.807,0.06833333333333334
2021-02-20,-0.6185449482203463,-0.8374283488229729,-0.6811488128348508,0,0.11675,0.8520000000000001,0.03125
2021-02-21,-0.9994662489484524,-0.99951768786985,-0.9995901279386363,1,0.142,0.858,0.0
2021-02-23,-0.9985573250563242,-0.9992208804051422,-0.9980677459964282,0,0.067,0.756,0.176
2021-02-26,-0.9983020528142798,-0.9996475411356596,-0.9967210235090904,0,0.071,0.876,0.054
